title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
How memory management impacts llm agents: An empirical study of experience-following behavior,"Z Xiong, Y Lin, W Xie, P He, Z Liu, J Tang…",2026,94,"… impact on the agent behavior. Through our quantitative analysis, we find that LLM agents display an … • We study how memory evolution affects longterm agent performance under task …",Kl_h-B_BbngJ,"Z Xiong, Y Lin, W Xie, P He, Z Liu, J Tang… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.27/,unknown,unknown
Agentic memory: Learning unified long-term and short-term memory management for large language model agents,"Y Yu, L Yao, Y Xie, Q Tan, J Feng, Y Li…",2026,81,"… agent-centric memory policies and suggest a promising direction for building scalable and adaptive LLM agents capable of long-term … term memory and long-term memory management, …",YoWGbxuCQvEJ,"Y Yu, L Yao, Y Xie, Q Tan, J Feng, Y Li… - Proceedings of the 64th …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.981/,unknown,unknown
H-mem: Hierarchical memory for high-efficiency long-term reasoning in llm agents,"H Sun, S Zeng, B Zhang",2026,20,"… In the experiments, we compare our work on the five types of tasks with other long-term memory methods of LLM. These methods include LoCoMo (LCM.) (Maharana et al.…",LvwtfSR42VIJ,"H Sun, S Zeng, B Zhang - Proceedings of the 19th Conference of …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.eacl-long.15/,unknown,unknown
Himem: Hierarchical long-term memory for llm long-horizon agents,"N Zhang, X Yang, Z Tan, W Deng, W Wang",2026,12,"… LLM agents. We hope that this work will inspire future research on long-term memory in more complex settings, including multi-agent, multimodal, and richly interactive environments. …",1DYtZTFnhZwJ,"N Zhang, X Yang, Z Tan, W Deng, W Wang - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.06377,unknown,unknown
Preference-aware memory update for long-term llm agents,"H Sun, Z Zhang, S Zeng",2026,12,… One of the key factors influencing the reasoning capabilities of LLM-based agents is their ability to leverage long-term memory. Integrating long-term memory mechanisms allows agents …,zFeR1h4j1IEJ,"H Sun, Z Zhang, S Zeng - Findings of the Association for …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.38/,unknown,unknown
Lightweight llm agent memory with small language models,"J Zhang, C Zhang, S Chen, Z Huang…",2026,31,"… , a lightweight memory system for LLM agents that models long-term memory as an incre… Memory matters: The need to improve long-term memory in llm-agents. In Proceedings of …",adQ7uTXCNo0J,"J Zhang, C Zhang, S Chen, Z Huang… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.588/,unknown,unknown
Evaluating memory structure in llm agents,"A Shutova, A Olenina, I Vinogradov…",2026,5,"… To bridge this gap, we propose StructMemEval — a benchmark that tests the agent’s ability to organize its long-term memory, not just factual recall. We gather a suite of tasks that …",jjGYxf9FKYAJ,"A Shutova, A Olenina, I Vinogradov… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.11243,unknown,unknown
TRUSTMEM: Learning Trustworthy Memory Consolidation for LLM Agents with Long-Term Memory,"T Yang, S Paul, V Srinivasan, V Kulkarni…",2026,2,"… memory consolidation in LLM agents with long-term memory. Instead of relying only on final task outcomes, TRUSTMEM supervises intermediate memory transitions through a Memory …",EoBKzaA5IvUJ,"T Yang, S Paul, V Srinivasan, V Kulkarni… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.25161,unknown,unknown
"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle","Z Lin, X Hao, R Fu, S Cui, K Chen, C Li, Z Li…",2026,8,"… provide a taxonomy framework for LTM security in LLM agents, as shown in Figure 1… memory-related attacks, defenses, and governance requirements are connected across the memory …",Gb-PQGQgKBUJ,"Z Lin, X Hao, R Fu, S Cui, K Chen, C Li, Z Li… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.16548,unknown,unknown
LeanMem: Simple and Efficient Long-Term Memory for LLM Agents,"Y Liao, L Wu, M Hou, H Liu, H Wu, Z Wang",2026,0,… lightweight long-term memory framework for LLM-based agents. LeanMem treats memory … We develop a three-stage pipeline: (1) Controlled Memory Writing: Given a dialogue seg…,86ESmaP-IEkJ,"Y Liao, L Wu, M Hou, H Liu, H Wu, Z Wang - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2608.03463,unknown,unknown
